Date,Price,OI,NC_SHORT,NC_LONG,NC_SPREAD,C_LONG,C_SHORT,TOT_LONG,TOT_SHORT,NR_LONG,NR_SHORT
12/8/2015,2064,863566,72464,79048,97088,598877,597891,768428,774027,95138,89538
12/15/2015,2043,959820,76714,77810,117717,633981,639941,828412,835468,131408,124352
12/22/2015,2039,727611,68923,77597,77972,466494,462070,613389,617640,114222,109972
12/29/2015,2078,719013,65436,76446,78698,467166,458643,611300,613788,107713,105225
1/5/2016,2017,744886,62697,80106,85311,473816,462024,621824,627441,123061,117444
1/12/2016,1939,847449,68329,90264,107223,534083,521185,709635,718672,137814,128776
1/19/2016,1881,871302,74859,104687,104060,544393,529844,723313,738591,147990,132711
1/26/2016,1904,870811,77610,98643,103199,551327,536546,732137,738388,138674,132423
2/2/2016,1903,902242,72156,118894,102394,584374,534055,758924,755344,143318,146898
2/9/2016,1852,970536,82749,116736,115229,615519,581695,813498,813661,157038,156875
2/16/2016,1896,970623,81899,112359,112345,620145,586399,814389,811103,156234,159520
2/23/2016,1921,920663,80005,120594,91401,580045,527282,751451,739277,169213,181386
3/1/2016,1978,955017,80041,117583,101721,594374,545002,776136,764306,178881,190710
3/8/2016,1979,1003679,78648,115044,108059,640538,594363,827245,817465,176434,186214
3/15/2016,2016,1053402,78200,118350,122256,680030,630852,880486,871459,172915,181943
3/22/2016,2050,806381,80237,113515,97361,539693,491030,717290,701906,89091,104475
3/29/2016,2055,815102,83220,109506,97104,540413,503278,720738,709888,94364,105213
4/5/2016,2045,832386,85762,106224,105499,548908,520220,740169,731943,92217,100442
4/12/2016,2062,854417,83207,100654,115452,563170,538585,761829,754692,92588,99725
4/19/2016,2101,878393,86367,100364,128896,575598,548239,790861,777499,87532,100894
4/26/2016,2092,880386,93767,91571,122944,564230,560935,780940,775450,99445,104936
5/3/2016,2063,840786,92779,82871,115702,534679,541493,743159,740065,97627,100721
5/10/2016,2084,863275,97348,88526,119214,550487,554656,767050,762397,96225,100878
5/17/2016,2047,850485,93780,85094,114891,552258,553113,760929,753098,89556,97386
5/24/2016,2076,877816,113999,89210,111480,558759,572149,784238,772839,93578,104977
5/31/2016,2097,906440,110194,98166,121914,579545,575926,811653,796006,94786,110434
6/7/2016,2112,973628,105356,109245,132560,627751,610808,865667,852613,107961,121015
6/14/2016,2075,1031548,127968,101538,140666,641473,660261,910107,902465,121441,129083
6/21/2016,2089,830110,107514,93867,110254,510111,525741,727879,729861,102231,100248
6/28/2016,2036,871185,105277,89319,105689,550270,557029,761236,752037,109950,119148
7/5/2016,2089,889399,107892,94052,113344,557221,558024,778457,765419,110942,123980
7/12/2016,2152,1020681,114773,111868,170476,621330,616025,906580,898369,114102,122312
7/19/2016,2164,986228,128325,105388,158211,590357,605228,876893,868827,109336,117401
7/26/2016,2169,994631,130084,99855,163802,593408,615801,887293,879457,107338,115173
8/2/2016,2157,934483,124616,97807,138899,568190,589593,831705,826299,102779,108185
8/9/2016,2182,962829,120915,100954,156738,587545,602836,865198,860528,97631,102302
8/16/2016,2178,974464,125426,94629,178057,573706,597503,877189,870189,97275,104275
8/23/2016,2187,958755,131508,93470,167221,564453,594133,863182,854824,95574,103931
8/30/2016,2176,949111,135533,83661,161760,554538,598505,851831,843925,97280,105186
9/6/2016,2186,975590,131664,89397,162713,582274,615870,876651,867979,98939,107611
9/13/2016,2127,1067085,117679,94067,175130,653178,674795,945987,943992,121098,123093
9/20/2016,2140,823679,113644,86566,135002,479194,501531,727840,723099,95839,100580
9/27/2016,2160,821074,113066,90065,129874,482392,498745,725331,718683,95743,102391
10/4/2016,2150,839745,109365,93977,130906,495191,500991,735461,725873,104284,113872
10/11/2016,2137,854487,104847,101823,133178,496991,500683,735016,735684,119471,118803
10/18/2016,2140,852492,109281,90007,135901,493362,511074,738545,736981,113947,115511
10/25/2016,2143,851697,102982,97520,125642,510582,506906,739205,730068,112491,121628
11/1/2016,2112,880438,103685,94726,145963,508844,512902,758492,753591,121947,126847
11/8/2016,2140,894693,103077,88568,161334,512969,520928,777381,770830,117312,123863
11/15/2016,2180,912335,96388,93930,170910,531305,525619,798603,790459,113731,121875
11/22/2016,2203,946095,96870,109035,171581,559350,535807,827802,816422,118293,129672
11/29/2016,2205,960697,96252,118996,173386,577515,546783,847152,839164,113545,121533
12/6/2016,2212,941120,89358,114071,161761,570447,541704,821566,817535,119554,123585
12/13/2016,2272,1183316,94429,121112,267009,684349,651310,1045786,1039430,137530,143886
12/20/2016,2271,890552,86195,102212,173614,540648,521040,800457,796866,90095,93686
12/27/2016,2269,872141,92293,100674,158740,529243,517924,780276,777338,91865,94803
1/3/2017,2258,849676,100908,93094,137083,513490,521362,751481,751539,98195,98137
1/10/2017,2269,872088,94963,105477,150464,534483,527650,779910,783590,92178,88497
1/17/2017,2268,868666,95280,103583,149621,530175,520150,775076,773354,93590,95312
1/24/2017,2280,870268,101970,105222,141357,526251,525922,769578,772501,100690,97767
1/31/2017,2279,853274,103103,103538,129791,529680,527930,762574,761259,90700,92014
2/7/2017,2293,883324,96639,112511,141477,548342,532036,786458,786024,96867,97300
2/14/2017,2338,1000140,101474,111790,188197,609320,589036,898991,889023,101149,111117
2/21/2017,2365,963677,100047,108316,182660,586176,569818,868883,860795,94794,102883
2/28/2017,2364,953625,104198,99291,181967,562819,562429,848985,843687,104640,109938
3/7/2017,2368,988953,115836,99787,185627,578566,594119,880029,879533,108924,109420
3/14/2017,2365,1062228,115515,96917,204514,633258,658683,953286,960114,108942,102115
3/21/2017,2344,806449,104648,91440,127994,478742,496766,711385,716200,95064,90249
3/28/2017,2359,823685,114744,84177,135916,477325,515147,727985,735240,95700,88445
4/4/2017,2360,801582,107619,87930,121434,475495,497779,704548,707143,97034,94439
4/11/2017,2354,827589,110949,91361,138237,481871,505574,731058,735173,96531,92416
4/18/2017,2342,830026,114956,93657,133495,485355,509655,733806,736807,96220,93219
4/25/2017,2389,836404,116508,98880,125138,503516,519839,745162,743856,91242,92548
5/2/2017,2391,832227,102990,92677,127792,518040,520044,748821,740512,83405,91715
5/9/2017,2397,857091,103189,95623,129870,526946,531397,760004,756889,97087,100202
5/16/2017,2401,863396,102263,104128,127369,536280,529541,765912,761038,97484,102358
5/23/2017,2398,862733,105383,104249,127018,533051,523906,765452,755173,97281,107560
5/30/2017,2413,873442,107686,104873,130314,539961,529909,777961,765096,95481,108346
6/6/2017,2429,896301,109177,107718,138145,551808,540319,799129,786182,97172,110119
6/13/2017,2440,976704,111112,107801,146762,616353,611085,874227,865648,102477,111057
6/20/2017,2437,744883,97555,96938,97167,461754,457305,656477,651409,88406,93474
6/27/2017,2419,756901,99962,97173,104632,462699,465630,667293,667435,89608,89466
7/4/2017,2429,749328,99992,87380,101704,458122,470233,659818,659316,89510,90012
7/11/2017,2426,748645,102810,87790,100359,454281,470397,657451,658547,91194,90098
7/18/2017,2461,788641,105451,89905,112489,478116,486678,696056,689073,92585,99569
7/25/2017,2477,804336,108755,89458,110721,486905,502081,706381,702260,97955,102076
8/1/2017,2476,816990,108074,95442,113161,496965,502283,718200,710886,98790,106104
8/8/2017,2475,842541,110246,97310,123021,513966,515926,747233,736256,95307,106284
8/15/2017,2465,863540,114657,89742,132187,517692,533220,764536,755149,99004,108391
8/22/2017,2453,870726,117073,92092,130849,528981,545989,776903,768930,93823,101796
8/29/2017,2446,888916,123521,86807,129275,542658,567438,795455,783520,93461,105395
9/5/2017,2458,895883,113097,86227,126859,567108,584382,807063,797468,88820,98415
9/12/2017,2496,1001505,121235,90257,145872,636041,652494,903148,888623,98357,112882
9/19/2017,2507,822197,114320,94636,114161,507293,515046,735774,723844,86423,98354
9/26/2017,2497,810608,117549,93613,110587,494284,508948,722420,713148,88188,97460
10/3/2017,2535,836602,115704,97496,127010,496818,504062,739532,728567,97071,108035
10/10/2017,2551,885409,117381,90303,149968,522379,539675,789728,779947,95681,105462
10/17/2017,2559,912473,116987,88000,164055,534244,552296,815286,804352,97187,108122
10/24/2017,2569,932524,116405,91960,172362,546971,564219,835739,828542,96786,103983
10/31/2017,2575,920992,117436,85973,159435,551797,579258,828667,824666,92325,96326
11/7/2017,2591,951385,121118,94434,166536,566492,583926,854146,844896,97239,106488
11/14/2017,2579,952621,123107,93651,160018,567014,592146,850139,845815,102482,106806
11/21/2017,2599,953335,117944,95368,150656,576793,597251,845393,843276,107942,110059
11/28/2017,2627,1013247,123717,99327,175386,601932,621717,901035,896429,112212,116818
12/5/2017,2630,1031362,128191,92248,170825,619600,660466,918616,923539,112746,107823
12/12/2017,2664,1146709,112411,91374,200102,712315,733178,1024828,1024654,121881,122055
12/19/2017,2681,858577,107989,92367,139277,513532,533218,760798,764861,97779,93716
12/26/2017,2681,870499,109495,90929,134030,527924,550622,771449,775581,99050,94918
1/2/2018,2696,832133,109452,77712,116571,507852,546781,733875,741065,98259,91069
1/9/2018,2751,957797,110828,96804,158246,579125,602061,848199,857112,109597,100685
1/16/2018,2776,1033314,116386,91921,193170,614877,650199,924432,935290,108881,98024
1/23/2018,2839,1041242,125984,95289,196993,614866,652778,937843,945060,103399,96182
1/30/2018,2822,1047252,131731,93878,188648,607453,664166,927832,946693,119420,100559
2/6/2018,2695,1159488,135428,102615,273439,620776,673077,1029642,1049131,129847,110357
2/13/2018,2663,1083573,117017,95449,234188,620635,652999,971839,982636,111734,100938
2/20/2018,2716,982534,109339,98073,169512,603086,622128,881937,889713,100597,92821
2/27/2018,2744,971176,110473,97539,158221,607398,626446,876091,882206,95085,88970
3/6/2018,2728,951042,104214,94615,153144,598721,617640,856078,865398,94964,85644
3/13/2018,2765,1057977,113311,101639,163711,677066,691576,954088,956926,103889,101051
3/20/2018,2717,749405,97390,78705,112139,452702,482978,662231,673822,87174,75583
3/27/2018,2613,860874,111189,70868,146321,492413,548951,749922,766140,110952,94734
4/3/2018,2614,863756,110037,71534,132555,496618,553895,739210,757984,124547,105773
4/10/2018,2657,876544,109909,68728,135403,502957,558525,748269,762656,128275,113888
4/17/2018,2706,860600,105326,64291,131617,498159,549034,735102,744942,125498,115658
4/24/2018,2635,856199,111496,69304,128446,485583,546369,725524,744119,130675,112080
5/1/2018,2655,849124,110698,67998,137083,472074,532375,719855,737456,129269,111668
5/8/2018,2672,863599,100060,71350,137645,490180,533359,727885,742354,135714,121245
5/15/2018,2711,883274,100679,62343,139939,502887,554237,743506,756520,139769,126754
5/22/2018,2724,878625,99142,61004,124257,510320,565512,733718,750772,144907,127852
5/29/2018,2690,918429,97510,69904,130168,533704,577983,761381,778055,157048,140374
6/5/2018,2749,922300,102777,63474,128204,533935,584652,764916,776330,157384,145970
6/12/2018,2787,985141,106664,65357,146913,566724,622135,820301,834406,164840,150735
6/19/2018,2763,720742,108879,68437,102803,423835,467602,635517,638842,85225,81900
6/26/2018,2723,751322,115631,75133,119291,426095,472315,661017,666739,90305,84583
7/3/2018,2713,749817,107886,73496,120242,427238,468444,655366,662183,94451,87634
7/10/2018,2794,777507,105981,72238,133531,444454,477314,683967,683083,93540,94423
7/17/2018,2810,804126,110337,74002,141992,453109,486871,705438,702865,98688,101260
7/24/2018,2820,796711,109968,70455,138093,452071,492906,700132,701454,96580,95257
7/31/2018,2816,788485,108647,75243,132661,449347,490966,690654,698870,97831,89615
8/7/2018,2858,826739,110199,77266,145236,468444,505306,723879,727807,102860,98932
8/14/2018,2840,829668,109135,72299,149469,467180,507574,725784,729342,103885,100327
8/21/2018,2863,838999,107491,83391,153924,472770,501702,734185,739017,104814,99982
8/28/2018,2898,889141,111969,81583,180921,490791,525168,783680,787672,105460,101469
9/4/2018,2897,896686,109083,77822,183100,494681,535589,786864,796511,109822,100175
9/11/2018,2888,899743,106540,82216,186159,498465,532691,791164,801066,108580,98678
9/18/2018,2904,985132,108325,81288,196660,571990,606073,876975,884020,108157,101112
9/25/2018,2916,985132,108325,81288,196660,571990,606073,876975,884020,108157,101112
10/2/2018,2923,805563,105808,63316,160782,460980,511554,727570,735653,77993,69910
10/9/2018,2880,837047,113120,62938,163562,473306,534558,749988,761058,87058,75988
10/16/2018,2810,905248,101473,61236,204052,511475,563557,816999,828844,88249,76403
10/23/2018,2741,913349,105153,60494,199803,516946,574852,821902,835149,91448,78200
10/30/2018,2683,957941,109900,58137,214733,538047,607018,862680,879888,95261,78053
11/6/2018,2755,919087,95720,57158,196916,536061,587297,828696,841371,90390,77716
11/13/2018,2722,932107,97355,56558,201817,544135,595838,843307,854213,88801,77894
11/20/2018,2642,959042,99695,57528,212404,549806,610612,861906,880544,97136,78498
11/27/2018,2682,914207,93067,55216,185524,542571,595709,821163,836449,93044,77757
12/4/2018,2700,931819,83514,62581,186431,560790,595141,830735,844153,101085,87666
12/11/2018,2637,958262,88469,53950,194097,570572,621243,853138,869291,105123,88971
12/18/2018,2546,1025314,99744,56639,221317,580984,648260,902045,926215,123270,99099
12/25/2018,2351,897930,96869,65427,210045,484118,544389,791032,819861,106889,78070
1/1/2019,2507,797299,75452,49768,172673,452792,497537,700917,719978,96382,77321
1/8/2019,2574,804546,70147,48605,182339,453427,483242,705913,714187,98633,90359
1/15/2019,2610,826546,69683,58738,189198,467566,482391,726447,730327,100099,96219
1/22/2019,2633,813824,69467,65141,182695,463238,467997,715400,715833,98424,97991
1/29/2019,2640,806056,73177,71663,171312,460599,465425,705088,708399,100968,97657
2/5/2019,2738,801478,70916,90414,168866,459222,438733,699004,698013,102475,103465
2/12/2019,2745,810271,70918,89386,174266,462805,437888,707990,701540,102281,108731
2/19/2019,2780,795461,73723,92187,164964,448539,425923,687226,683075,108235,112386
2/26/2019,2794,810464,76806,85130,166358,458354,447426,701518,698913,108946,111551
3/5/2019,2790,757056,72968,85593,147567,446782,428850,667317,662010,89740,95047
3/12/2019,2792,813015,74471,80269,160733,480758,469853,715962,710855,97053,102159
3/19/2019,2833,690889,71648,76562,136657,404058,397609,612364,610828,78526,80062
3/26/2019,2818,705962,75722,66254,139655,406012,412013,621389,617922,84572,88040
4/2/2019,2867,713247,78499,77765,135201,413594,413437,627294,626403,85953,86844
4/9/2019,2878,732560,80136,79971,147619,424693,421500,652448,649091,80111,83469
4/16/2019,2907,762662,84964,82306,152477,438016,440170,675456,674954,87205,87708
4/23/2019,2934,771497,89825,85367,147923,442011,444895,679758,678184,91739,93313
4/30/2019,2946,765227,93405,81401,141837,439768,451734,675010,674973,90217,90254
5/7/2019,2884,798537,85893,70933,173100,448181,462340,707174,706373,91363,92164
5/14/2019,2834,812638,85910,68582,185578,451179,469446,722667,723606,89971,89031
5/21/2019,2864,789085,88084,71936,169259,442640,459328,699984,700524,89102,88561
5/28/2019,2802,822740,85155,69743,191983,456046,471347,733185,733073,89555,89667
6/4/2019,2803,818397,91522,71529,180695,466646,475829,738864,728053,79533,90344
6/11/2019,2886,821136,92348,80045,167232,477452,486232,737032,733509,84104,87627
6/18/2019,2918,906386,97184,84306,184876,521506,535955,803566,805137,102820,101249
6/25/2019,2917,719878,79278,58401,158165,403177,423736,640620,640302,79259,79577
7/2/2019,2973,725006,75093,64425,142951,420989,432991,639033,640368,85973,84638
7/9/2019,2980,733868,72765,69098,142532,432862,438545,648159,650175,85709,83693
7/16/2019,3004,765812,75304,67951,153034,448167,458133,676504,679118,89307,86694
7/23/2019,3005,743928,77650,66592,135098,440134,454490,652883,656181,91045,87747
7/30/2019,3013,753398,78570,64966,139093,446060,458471,663723,662529,89675,90869
8/6/2019,2882,812390,76810,64143,191674,460034,467365,728518,723182,83871,89207
8/13/2019,2926,787849,70362,70883,177058,453051,453151,700470,701092,87378,86757
8/20/2019,2901,786491,73787,63657,173856,447531,460350,695174,697862,91317,88629
8/27/2019,2869,805368,75755,65462,181123,459540,465634,716418,712219,88950,93149
9/3/2019,2906,800390,71688,70720,175582,456067,457593,703338,703895,97053,96495
9/10/2019,2979,818993,72395,72032,173335,474194,479065,719925,724432,99069,94561
9/17/2019,3006,878396,77208,72517,186150,503609,522569,766967,781236,111429,97160
9/24/2019,2967,728079,66863,63622,163881,416451,425057,647195,652560,80884,75520
10/1/2019,2940,731661,63888,63310,162260,420096,430097,646243,655668,85418,75993
10/8/2019,2893,761042,67050,59254,183770,426317,440241,677136,683265,83906,77777
10/15/2019,2996,743640,70901,66278,164897,425958,436657,661756,667832,81884,75808
10/22/2019,2996,721172,73253,65347,148787,420799,431726,642839,645860,78334,75313
10/29/2019,3037,746694,76222,67804,149436,437092,450977,662750,668217,83944,78477
11/5/2019,3075,768132,74439,71397,153502,455477,461578,683418,686477,84713,81655
11/12/2019,3092,793132,74574,71490,157095,474315,480789,705984,709375,87147,83757
11/19/2019,3120,794881,79519,78005,154565,473512,475308,707596,707878,87285,87003
11/26/2019,3141,820022,83782,83747,157499,487769,490370,729050,731617,90971,88405
12/3/2019,3093,818970,76961,81912,157461,495558,495822,729979,735195,88991,83775
12/10/2019,3133,846047,74814,77966,166641,512919,514406,754374,759013,91674,87034
12/17/2019,3193,928026,79933,81337,190436,543825,562089,814194,833861,113832,94165
12/24/2019,3223,752081,77445,71317,145001,447157,461273,669603,677592,82478,74489
12/31/2019,3231,735636,82151,72924,126552,443460,461525,652164,661001,83472,74635
1/7/2020,3237,745366,79365,75125,133810,448382,456737,661558,665672,83808,79694
1/14/2020,3283,774330,78492,73399,151631,456826,470494,686949,695523,87381,78807
1/21/2020,3321,787434,84407,80648,152831,461587,473122,698825,706602,88609,80832
1/28/2020,3276,787478,83841,78078,151926,463692,473110,699459,703114,88020,84365
2/4/2020,3298,770580,87316,78610,141662,451993,464828,680971,685100,89609,85481
2/11/2020,3358,807567,89932,84483,158126,471483,481057,719541,723665,88026,83902
2/18/2020,3370,820837,93290,88188,160007,477714,487756,731012,735951,89825,84886
2/25/2020,3128,889406,91887,80300,204161,485862,507712,781910,792173,107496,97233
3/3/2020,3003,1006337,80263,77598,244575,544825,554031,869664,876204,136673,130132
3/10/2020,2882,1178212,82302,80033,306889,632946,629477,1022136,1016398,156075,161814
3/17/2020,2529,1584910,78847,75281,472000,824309,828628,1375157,1375910,209754,209001
3/24/2020,2447,1090535,74485,85286,290557,609520,601529,974563,977373,115972,113162
3/31/2020,2585,1079152,75960,86689,250079,616963,593004,943002,929772,136151,149380
4/7/2020,2659,1085173,76038,98920,236863,626524,589440,939425,925224,145748,159949
4/14/2020,2846,1091402,74320,110946,244111,627303,569420,945735,924477,145668,166925
4/21/2020,2737,1049483,73300,99679,220596,607341,564054,901237,884329,148246,165154
4/28/2020,2863,1010726,70793,108331,197651,591882,537002,860326,842984,150400,167741
5/5/2020,2868,985237,65053,102113,182140,591753,532542,838946,816794,146292,168443
5/12/2020,2870,991664,61741,99443,185313,590541,529407,837595,814163,154069,177501
5/19/2020,2923,956328,60903,102119,169703,573321,512912,803927,784734,152401,171594
5/26/2020,2992,958972,62516,107294,173125,570697,506387,806338,786806,152634,172166
6/2/2020,3081,959904,68547,107140,171571,570090,512585,810208,791296,149696,168608
6/9/2020,3207,1010625,71630,108187,200325,588105,539466,860061,847977,150564,162648
6/16/2020,3125,1061534,68108,120270,207788,623092,562262,898988,890320,162546,171214
6/23/2020,3131,666996,66890,89088,109574,432558,397855,609022,596517,57975,70479
6/30/2020,3100,687633,74097,89210,102416,441450,414754,617964,606381,69670,81252
7/7/2020,3145,691121,74550,84799,108306,438938,415402,621794,608507,69327,82614
7/14/2020,3198,705502,77757,85264,116387,440522,419304,634666,620954,70836,84548
7/21/2020,3257,696115,76930,86822,109447,437163,417649,623540,613918,72575,82197
7/28/2020,3218,704028,78938,84930,108268,440447,424057,627653,617255,76375,86773
8/4/2020,3307,716383,80716,89319,108532,444557,427360,633805,625211,82578,91172
8/11/2020,3334,734949,79788,88605,121664,450648,431109,652100,641379,82849,93570
8/18/2020,3390,744389,84123,91907,124410,452523,438629,661056,654947,83334,89443
8/25/2020,3444,745789,84177,96068,123206,458114,436742,665496,656016,80292,89773
9/1/2020,3527,768392,90349,91516,132059,464459,452904,686868,676480,81525,91913
9/8/2020,3332,761827,85334,79082,134544,457848,452049,677726,665674,84101,96153
9/15/2020,3401,795233,82908,78707,130213,488162,491450,701283,700370,93949,94862
9/22/2020,3316,638069,71059,61280,92558,408288,414701,571906,568539,66163,69530
9/29/2020,3335,641937,75526,62042,93589,407288,419835,576402,575465,65535,66472
10/6/2020,3361,647230,81179,65712,92262,400309,411276,573750,569249,73480,77981
10/13/2020,3512,664652,77390,68918,105391,406172,412685,588953,586993,75699,77658
10/20/2020,3443,638575,80282,67886,95537,392418,404977,568238,568400,70338,70175
10/27/2020,3391,643708,89573,63506,95911,390686,414614,576169,574030,67539,69678
11/3/2020,3369,648266,80201,61397,100706,400126,417939,581033,580042,67233,68224
11/10/2020,3546,675961,74945,58038,117321,408135,428140,600401,603500,75560,72461
11/17/2020,3610,693906,79289,65157,114130,416997,435391,610416,614678,83490,79227
11/24/2020,3635,685529,73459,72730,109190,419913,424615,602562,606535,82968,78994
12/1/2020,3662,698807,74303,73139,106216,433447,438910,613966,618266,84841,80542
12/8/2020,3702,728527,76439,78409,116108,449904,452588,642451,647105,86076,81422
12/15/2020,3695,797546,75192,77189,129924,495638,499835,700754,706947,96792,90599
12/22/2020,3687,590893,67855,71976,72628,393042,394693,533525,539296,57368,51596
12/29/2020,3727,616002,71229,79926,77306,402915,401619,551450,558851,64551,57151
1/5/2021,3727,628875,69625,80376,73727,413549,415205,556901,569308,71974,59567
1/12/2021,3801,653063,73562,76741,85027,421056,424924,579645,586691,73418,66372
1/19/2021,3799,641434,78148,76540,77087,414149,423711,569384,577339,72051,64096
1/26/2021,3850,658831,79138,81377,85132,427634,430126,591903,596635,66928,62196
2/2/2021,3826,686747,77575,81857,100190,435471,439058,613236,621105,73511,65641
2/9/2021,3911,687554,77727,86214,102288,436813,432245,616827,620747,70726,66807
2/16/2021,3933,691001,74650,84686,103319,439507,435020,617476,623026,73525,67975
2/23/2021,3881,685622,74757,74895,100578,438380,443597,613716,619071,71906,66551
3/2/2021,3870,717990,80943,71032,103658,446645,465975,631246,640666,86743,77324
3/9/2021,3875,726302,82754,73957,112209,453967,469730,648931,655896,77372,70407
3/16/2021,3963,788315,80661,75474,123270,503864,517396,707795,716140,80521,72175
3/23/2021,3911,605897,60471,65668,78991,406566,411614,546027,556273,59870,49624
3/30/2021,3959,633808,61319,66273,83130,420675,419587,565125,568990,68683,64817
4/6/2021,4074,661056,67226,73846,92781,425741,420694,585748,587321,75308,73735
4/13/2021,4142,684403,66602,72187,107206,434277,430421,608085,609814,76318,74589
4/20/2021,4135,687164,67989,71164,110973,431797,431992,610759,614130,76404,73033
4/27/2021,4187,699182,71950,65135,116784,429062,437501,617795,619420,81387,79762
5/4/2021,4165,697761,66913,64923,118279,439914,445587,625107,628789,72655,68972
5/11/2021,4152,702073,66717,60833,124771,434874,448182,626363,633786,75711,68287
5/18/2021,4128,699582,67388,60609,127713,420349,437563,615449,625884,84133,73698
5/25/2021,4188,714659,72030,62911,128361,427643,443866,628033,635138,86626,79521
6/1/2021,4202,707114,74496,63561,110994,429294,448674,614783,623229,92331,83885
6/8/2021,4227,721523,75606,61151,119180,435262,456116,630048,636446,91475,85076
6/15/2021,4247,785314,77630,63136,127995,480531,503280,686156,694411,99158,90903